weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.875, 0.0, 0.0, 0.025, 0.025, 0.075]",0.875,0.0,0.0,0.025,0.025,0.075,0.41215999999999997,-1.1826
"[0.85, 0.0, 0.0, 0.025, 0.025, 0.1]",0.85,0.0,0.0,0.025,0.025,0.1,0.4125,-1.1651999999999998
"[0.8, 0.0, 0.0, 0.025, 0.025, 0.15]",0.8,0.0,0.0,0.025,0.025,0.15,0.41359,-1.1296
"[0.925, 0.0, 0.0, 0.025, 0.05, 0.0]",0.925,0.0,0.0,0.025,0.05,0.0,0.41285,-1.3541
"[0.9, 0.0, 0.0, 0.025, 0.05, 0.025]",0.9,0.0,0.0,0.025,0.05,0.025,0.41235999999999995,-1.3367
"[0.875, 0.0, 0.0, 0.025, 0.05, 0.05]",0.875,0.0,0.0,0.025,0.05,0.05,0.41242,-1.3187999999999998
"[0.85, 0.0, 0.0, 0.025, 0.05, 0.075]",0.85,0.0,0.0,0.025,0.05,0.075,0.41259,-1.3014000000000001
"[0.825, 0.0, 0.0, 0.025, 0.05, 0.1]",0.825,0.0,0.0,0.025,0.05,0.1,0.41293,-1.2832
"[0.775, 0.0, 0.0, 0.025, 0.05, 0.15]",0.775,0.0,0.0,0.025,0.05,0.15,0.41408999999999996,-1.2484
"[0.9, 0.0, 0.0, 0.025, 0.075, 0.0]",0.9,0.0,0.0,0.025,0.075,0.0,0.41285,-1.4729
"[0.875, 0.0, 0.0, 0.025, 0.075, 0.025]",0.875,0.0,0.0,0.025,0.075,0.025,0.41276999999999997,-1.4555
"[0.85, 0.0, 0.0, 0.025, 0.075, 0.05]",0.85,0.0,0.0,0.025,0.075,0.05,0.41285,-1.4376
"[0.825, 0.0, 0.0, 0.025, 0.075, 0.075]",0.825,0.0,0.0,0.025,0.075,0.075,0.41302,-1.4199
"[0.8, 0.0, 0.0, 0.025, 0.075, 0.1]",0.8,0.0,0.0,0.025,0.075,0.1,0.41337999999999997,-1.4020000000000001
"[0.75, 0.0, 0.0, 0.025, 0.075, 0.15]",0.75,0.0,0.0,0.025,0.075,0.15,0.41457,-1.3669
"[0.875, 0.0, 0.0, 0.025, 0.1, 0.0]",0.875,0.0,0.0,0.025,0.1,0.0,0.41331,-1.5918999999999999
"[0.85, 0.0, 0.0, 0.025, 0.1, 0.025]",0.85,0.0,0.0,0.025,0.1,0.025,0.4132,-1.5742
"[0.825, 0.0, 0.0, 0.025, 0.1, 0.05]",0.825,0.0,0.0,0.025,0.1,0.05,0.41328,-1.5563
"[0.8, 0.0, 0.0, 0.025, 0.1, 0.075]",0.8,0.0,0.0,0.025,0.1,0.075,0.4135,-1.5389
"[0.775, 0.0, 0.0, 0.025, 0.1, 0.1]",0.775,0.0,0.0,0.025,0.1,0.1,0.41386,-1.521
"[0.725, 0.0, 0.0, 0.025, 0.1, 0.15]",0.725,0.0,0.0,0.025,0.1,0.15,0.41508,-1.4857
"[0.825, 0.0, 0.0, 0.025, 0.15, 0.0]",0.825,0.0,0.0,0.025,0.15,0.0,0.41422000000000003,-1.8292
"[0.8, 0.0, 0.0, 0.025, 0.15, 0.025]",0.8,0.0,0.0,0.025,0.15,0.025,0.41414,-1.8118
"[0.775, 0.0, 0.0, 0.025, 0.15, 0.05]",0.775,0.0,0.0,0.025,0.15,0.05,0.41425999999999996,-1.7938999999999998
"[0.75, 0.0, 0.0, 0.025, 0.15, 0.075]",0.75,0.0,0.0,0.025,0.15,0.075,0.41452999999999995,-1.7765
"[0.725, 0.0, 0.0, 0.025, 0.15, 0.1]",0.725,0.0,0.0,0.025,0.15,0.1,0.41494,-1.7586
"[0.675, 0.0, 0.0, 0.025, 0.15, 0.15]",0.675,0.0,0.0,0.025,0.15,0.15,0.41616,-1.7233
"[0.95, 0.0, 0.0, 0.05, 0.0, 0.0]",0.95,0.0,0.0,0.05,0.0,0.0,0.41587,-1.4022000000000001
"[0.925, 0.0, 0.0, 0.05, 0.0, 0.025]",0.925,0.0,0.0,0.05,0.0,0.025,0.41523,-1.3843
"[0.9, 0.0, 0.0, 0.05, 0.0, 0.05]",0.9,0.0,0.0,0.05,0.0,0.05,0.41469,-1.3669
"[0.875, 0.0, 0.0, 0.05, 0.0, 0.075]",0.875,0.0,0.0,0.05,0.0,0.075,0.41466000000000003,-1.3487
"[0.85, 0.0, 0.0, 0.05, 0.0, 0.1]",0.85,0.0,0.0,0.05,0.0,0.1,0.41507000000000005,-1.3313
"[0.8, 0.0, 0.0, 0.05, 0.0, 0.15]",0.8,0.0,0.0,0.05,0.0,0.15,0.41628999999999994,-1.2959999999999998
"[0.925, 0.0, 0.0, 0.05, 0.025, 0.0]",0.925,0.0,0.0,0.05,0.025,0.0,0.41569999999999996,-1.5205
"[0.9, 0.0, 0.0, 0.05, 0.025, 0.025]",0.9,0.0,0.0,0.05,0.025,0.025,0.41506,-1.5028000000000001
"[0.875, 0.0, 0.0, 0.05, 0.025, 0.05]",0.875,0.0,0.0,0.05,0.025,0.05,0.41489,-1.4854
"[0.85, 0.0, 0.0, 0.05, 0.025, 0.075]",0.85,0.0,0.0,0.05,0.025,0.075,0.41516,-1.4675
"[0.825, 0.0, 0.0, 0.05, 0.025, 0.1]",0.825,0.0,0.0,0.05,0.025,0.1,0.41557,-1.4501
"[0.775, 0.0, 0.0, 0.05, 0.025, 0.15]",0.775,0.0,0.0,0.05,0.025,0.15,0.41672,-1.4148
"[0.9, 0.0, 0.0, 0.05, 0.05, 0.0]",0.9,0.0,0.0,0.05,0.05,0.0,0.41552999999999995,-1.6389999999999998
"[0.875, 0.0, 0.0, 0.05, 0.05, 0.025]",0.875,0.0,0.0,0.05,0.05,0.025,0.41519000000000006,-1.6216000000000002
"[0.85, 0.0, 0.0, 0.05, 0.05, 0.05]",0.85,0.0,0.0,0.05,0.05,0.05,0.41531999999999997,-1.6041999999999998
"[0.825, 0.0, 0.0, 0.05, 0.05, 0.075]",0.825,0.0,0.0,0.05,0.05,0.075,0.41561000000000003,-1.5863000000000003
"[0.8, 0.0, 0.0, 0.05, 0.05, 0.1]",0.8,0.0,0.0,0.05,0.05,0.1,0.41601999999999995,-1.5689
"[0.75, 0.0, 0.0, 0.05, 0.05, 0.15]",0.75,0.0,0.0,0.05,0.05,0.15,0.41722000000000004,-1.5336
"[0.875, 0.0, 0.0, 0.05, 0.075, 0.0]",0.875,0.0,0.0,0.05,0.075,0.0,0.41573000000000004,-1.758
"[0.85, 0.0, 0.0, 0.05, 0.075, 0.025]",0.85,0.0,0.0,0.05,0.075,0.025,0.41562,-1.7406000000000001
"[0.825, 0.0, 0.0, 0.05, 0.075, 0.05]",0.825,0.0,0.0,0.05,0.075,0.05,0.41577,-1.7227
"[0.8, 0.0, 0.0, 0.05, 0.075, 0.075]",0.8,0.0,0.0,0.05,0.075,0.075,0.41614,-1.7053
"[0.775, 0.0, 0.0, 0.05, 0.075, 0.1]",0.775,0.0,0.0,0.05,0.075,0.1,0.41655,-1.6879
