weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.825, 0.0, 0.075, 0.025, 0.05, 0.025]",0.825,0.0,0.075,0.025,0.05,0.025,0.41484,-1.8232000000000002
"[0.8, 0.0, 0.075, 0.025, 0.05, 0.05]",0.8,0.0,0.075,0.025,0.05,0.05,0.41496999999999995,-1.8058
"[0.775, 0.0, 0.075, 0.025, 0.05, 0.075]",0.775,0.0,0.075,0.025,0.05,0.075,0.41517,-1.7884000000000002
"[0.75, 0.0, 0.075, 0.025, 0.05, 0.1]",0.75,0.0,0.075,0.025,0.05,0.1,0.41558,-1.7702000000000002
"[0.7, 0.0, 0.075, 0.025, 0.05, 0.15]",0.7,0.0,0.075,0.025,0.05,0.15,0.41677,-1.7348999999999999
"[0.825, 0.0, 0.075, 0.025, 0.075, 0.0]",0.825,0.0,0.075,0.025,0.075,0.0,0.41537999999999997,-1.9599
"[0.8, 0.0, 0.075, 0.025, 0.075, 0.025]",0.8,0.0,0.075,0.025,0.075,0.025,0.41532,-1.9420000000000002
"[0.775, 0.0, 0.075, 0.025, 0.075, 0.05]",0.775,0.0,0.075,0.025,0.075,0.05,0.4154,-1.9246
"[0.75, 0.0, 0.075, 0.025, 0.075, 0.075]",0.75,0.0,0.075,0.025,0.075,0.075,0.41567,-1.9064
"[0.725, 0.0, 0.075, 0.025, 0.075, 0.1]",0.725,0.0,0.075,0.025,0.075,0.1,0.41608,-1.8889999999999998
"[0.675, 0.0, 0.075, 0.025, 0.075, 0.15]",0.675,0.0,0.075,0.025,0.075,0.15,0.41725,-1.8537
"[0.8, 0.0, 0.075, 0.025, 0.1, 0.0]",0.8,0.0,0.075,0.025,0.1,0.0,0.41586,-2.0787
"[0.775, 0.0, 0.075, 0.025, 0.1, 0.025]",0.775,0.0,0.075,0.025,0.1,0.025,0.41578000000000004,-2.0604999999999998
"[0.75, 0.0, 0.075, 0.025, 0.1, 0.05]",0.75,0.0,0.075,0.025,0.1,0.05,0.41588,-2.0431
"[0.725, 0.0, 0.075, 0.025, 0.1, 0.075]",0.725,0.0,0.075,0.025,0.1,0.075,0.41617000000000004,-2.0252
"[0.7, 0.0, 0.075, 0.025, 0.1, 0.1]",0.7,0.0,0.075,0.025,0.1,0.1,0.41658,-2.0078
"[0.65, 0.0, 0.075, 0.025, 0.1, 0.15]",0.65,0.0,0.075,0.025,0.1,0.15,0.41783000000000003,-1.9725000000000001
"[0.75, 0.0, 0.075, 0.025, 0.15, 0.0]",0.75,0.0,0.075,0.025,0.15,0.0,0.41687,-2.316
"[0.725, 0.0, 0.075, 0.025, 0.15, 0.025]",0.725,0.0,0.075,0.025,0.15,0.025,0.41676,-2.2981
"[0.7, 0.0, 0.075, 0.025, 0.15, 0.05]",0.7,0.0,0.075,0.025,0.15,0.05,0.41691,-2.2807
"[0.675, 0.0, 0.075, 0.025, 0.15, 0.075]",0.675,0.0,0.075,0.025,0.15,0.075,0.41725,-2.2628
"[0.65, 0.0, 0.075, 0.025, 0.15, 0.1]",0.65,0.0,0.075,0.025,0.15,0.1,0.41769,-2.2454
"[0.6000000000000001, 0.0, 0.075, 0.025, 0.15, 0.15]",0.6000000000000001,0.0,0.075,0.025,0.15,0.15,0.41896,-2.2101
"[0.875, 0.0, 0.075, 0.05, 0.0, 0.0]",0.875,0.0,0.075,0.05,0.0,0.0,0.41692,-1.8887
"[0.85, 0.0, 0.075, 0.05, 0.0, 0.025]",0.85,0.0,0.075,0.05,0.0,0.025,0.41686,-1.8712999999999997
"[0.825, 0.0, 0.075, 0.05, 0.0, 0.05]",0.825,0.0,0.075,0.05,0.0,0.05,0.41703999999999997,-1.8534000000000002
"[0.8, 0.0, 0.075, 0.05, 0.0, 0.075]",0.8,0.0,0.075,0.05,0.0,0.075,0.41733,-1.8357
"[0.775, 0.0, 0.075, 0.05, 0.0, 0.1]",0.775,0.0,0.075,0.05,0.0,0.1,0.41774,-1.8177999999999999
"[0.725, 0.0, 0.075, 0.05, 0.0, 0.15]",0.725,0.0,0.075,0.05,0.0,0.15,0.41891999999999996,-1.7825
"[0.85, 0.0, 0.075, 0.05, 0.025, 0.0]",0.85,0.0,0.075,0.05,0.025,0.0,0.41737,-2.0075000000000003
"[0.825, 0.0, 0.075, 0.05, 0.025, 0.025]",0.825,0.0,0.075,0.05,0.025,0.025,0.41734000000000004,-1.9897999999999998
"[0.8, 0.0, 0.075, 0.05, 0.025, 0.05]",0.8,0.0,0.075,0.05,0.025,0.05,0.41749,-1.9719
"[0.775, 0.0, 0.075, 0.05, 0.025, 0.075]",0.775,0.0,0.075,0.05,0.025,0.075,0.41783000000000003,-1.9545000000000001
"[0.75, 0.0, 0.075, 0.05, 0.025, 0.1]",0.75,0.0,0.075,0.05,0.025,0.1,0.41822000000000004,-1.9365999999999999
"[0.7, 0.0, 0.075, 0.05, 0.025, 0.15]",0.7,0.0,0.075,0.05,0.025,0.15,0.41942,-1.9013
"[0.825, 0.0, 0.075, 0.05, 0.05, 0.0]",0.825,0.0,0.075,0.05,0.05,0.0,0.41783,-2.126
"[0.8, 0.0, 0.075, 0.05, 0.05, 0.025]",0.8,0.0,0.075,0.05,0.05,0.025,0.41779,-2.1086
"[0.775, 0.0, 0.075, 0.05, 0.05, 0.05]",0.775,0.0,0.075,0.05,0.05,0.05,0.41799,-2.0907
"[0.75, 0.0, 0.075, 0.05, 0.05, 0.075]",0.75,0.0,0.075,0.05,0.05,0.075,0.41831,-2.0732999999999997
"[0.725, 0.0, 0.075, 0.05, 0.05, 0.1]",0.725,0.0,0.075,0.05,0.05,0.1,0.41877,-2.0554
"[0.675, 0.0, 0.075, 0.05, 0.05, 0.15]",0.675,0.0,0.075,0.05,0.05,0.15,0.41991999999999996,-2.0201000000000002
"[0.8, 0.0, 0.075, 0.05, 0.075, 0.0]",0.8,0.0,0.075,0.05,0.075,0.0,0.41833,-2.2448
"[0.775, 0.0, 0.075, 0.05, 0.075, 0.025]",0.775,0.0,0.075,0.05,0.075,0.025,0.41832,-2.2274000000000003
"[0.75, 0.0, 0.075, 0.05, 0.075, 0.05]",0.75,0.0,0.075,0.05,0.075,0.05,0.41852,-2.2095
"[0.725, 0.0, 0.075, 0.05, 0.075, 0.075]",0.725,0.0,0.075,0.05,0.075,0.075,0.41881,-2.1921
"[0.7, 0.0, 0.075, 0.05, 0.075, 0.1]",0.7,0.0,0.075,0.05,0.075,0.1,0.41927000000000003,-2.1742
"[0.65, 0.0, 0.075, 0.05, 0.075, 0.15]",0.65,0.0,0.075,0.05,0.075,0.15,0.42045,-2.1389
"[0.775, 0.0, 0.075, 0.05, 0.1, 0.0]",0.775,0.0,0.075,0.05,0.1,0.0,0.41886,-2.3636
"[0.75, 0.0, 0.075, 0.05, 0.1, 0.025]",0.75,0.0,0.075,0.05,0.1,0.025,0.41884,-2.3457
"[0.725, 0.0, 0.075, 0.05, 0.1, 0.05]",0.725,0.0,0.075,0.05,0.1,0.05,0.41903999999999997,-2.3283
"[0.7, 0.0, 0.075, 0.05, 0.1, 0.075]",0.7,0.0,0.075,0.05,0.1,0.075,0.41934000000000005,-2.3109
"[0.675, 0.0, 0.075, 0.05, 0.1, 0.1]",0.675,0.0,0.075,0.05,0.1,0.1,0.4198,-2.2929999999999997
"[0.625, 0.0, 0.075, 0.05, 0.1, 0.15]",0.625,0.0,0.075,0.05,0.1,0.15,0.42103,-2.2577
"[0.725, 0.0, 0.075, 0.05, 0.15, 0.0]",0.725,0.0,0.075,0.05,0.15,0.0,0.41991,-2.6012
"[0.7, 0.0, 0.075, 0.05, 0.15, 0.025]",0.7,0.0,0.075,0.05,0.15,0.025,0.41992,-2.5833
"[0.675, 0.0, 0.075, 0.05, 0.15, 0.05]",0.675,0.0,0.075,0.05,0.15,0.05,0.42013999999999996,-2.5659
"[0.65, 0.0, 0.075, 0.05, 0.15, 0.075]",0.65,0.0,0.075,0.05,0.15,0.075,0.42046,-2.548
"[0.625, 0.0, 0.075, 0.05, 0.15, 0.1]",0.625,0.0,0.075,0.05,0.15,0.1,0.42093,-2.5305999999999997
"[0.85, 0.0, 0.075, 0.075, 0.0, 0.0]",0.85,0.0,0.075,0.075,0.0,0.0,0.42033,-2.1736
"[0.825, 0.0, 0.075, 0.075, 0.0, 0.025]",0.825,0.0,0.075,0.075,0.0,0.025,0.42037,-2.1562
"[0.8, 0.0, 0.075, 0.075, 0.0, 0.05]",0.8,0.0,0.075,0.075,0.0,0.05,0.42054,-2.1383
"[0.775, 0.0, 0.075, 0.075, 0.0, 0.075]",0.775,0.0,0.075,0.075,0.0,0.075,0.42086,-2.1209
"[0.75, 0.0, 0.075, 0.075, 0.0, 0.1]",0.75,0.0,0.075,0.075,0.0,0.1,0.42132,-2.1029999999999998
"[0.7, 0.0, 0.075, 0.075, 0.0, 0.15]",0.7,0.0,0.075,0.075,0.0,0.15,0.42247999999999997,-2.0677000000000003
"[0.825, 0.0, 0.075, 0.075, 0.025, 0.0]",0.825,0.0,0.075,0.075,0.025,0.0,0.42088,-2.2924
"[0.8, 0.0, 0.075, 0.075, 0.025, 0.025]",0.8,0.0,0.075,0.075,0.025,0.025,0.42086999999999997,-2.275
"[0.775, 0.0, 0.075, 0.075, 0.025, 0.05]",0.775,0.0,0.075,0.075,0.025,0.05,0.42107000000000006,-2.2571
"[0.75, 0.0, 0.075, 0.075, 0.025, 0.075]",0.75,0.0,0.075,0.075,0.025,0.075,0.42141,-2.2397
"[0.725, 0.0, 0.075, 0.075, 0.025, 0.1]",0.725,0.0,0.075,0.075,0.025,0.1,0.42185,-2.2218
"[0.675, 0.0, 0.075, 0.075, 0.025, 0.15]",0.675,0.0,0.075,0.075,0.025,0.15,0.42303,-2.1865
"[0.8, 0.0, 0.075, 0.075, 0.05, 0.0]",0.8,0.0,0.075,0.075,0.05,0.0,0.42133,-2.4112
"[0.775, 0.0, 0.075, 0.075, 0.05, 0.025]",0.775,0.0,0.075,0.075,0.05,0.025,0.42139000000000004,-2.3938
"[0.75, 0.0, 0.075, 0.075, 0.05, 0.05]",0.75,0.0,0.075,0.075,0.05,0.05,0.42159,-2.3758999999999997
"[0.725, 0.0, 0.075, 0.075, 0.05, 0.075]",0.725,0.0,0.075,0.075,0.05,0.075,0.42193,-2.3585000000000003
"[0.7, 0.0, 0.075, 0.075, 0.05, 0.1]",0.7,0.0,0.075,0.075,0.05,0.1,0.42232000000000003,-2.3406000000000002
"[0.65, 0.0, 0.075, 0.075, 0.05, 0.15]",0.65,0.0,0.075,0.075,0.05,0.15,0.42356000000000005,-2.3053
"[0.775, 0.0, 0.075, 0.075, 0.075, 0.0]",0.775,0.0,0.075,0.075,0.075,0.0,0.4219,-2.5300000000000002
"[0.75, 0.0, 0.075, 0.075, 0.075, 0.025]",0.75,0.0,0.075,0.075,0.075,0.025,0.42194,-2.5126
"[0.725, 0.0, 0.075, 0.075, 0.075, 0.05]",0.725,0.0,0.075,0.075,0.075,0.05,0.42213999999999996,-2.4947000000000004
"[0.7, 0.0, 0.075, 0.075, 0.075, 0.075]",0.7,0.0,0.075,0.075,0.075,0.075,0.42247999999999997,-2.4773
"[0.675, 0.0, 0.075, 0.075, 0.075, 0.1]",0.675,0.0,0.075,0.075,0.075,0.1,0.42292,-2.4594
"[0.625, 0.0, 0.075, 0.075, 0.075, 0.15]",0.625,0.0,0.075,0.075,0.075,0.15,0.42416,-2.4241
"[0.75, 0.0, 0.075, 0.075, 0.1, 0.0]",0.75,0.0,0.075,0.075,0.1,0.0,0.42242,-2.6488
"[0.725, 0.0, 0.075, 0.075, 0.1, 0.025]",0.725,0.0,0.075,0.075,0.1,0.025,0.42251,-2.6314
"[0.7, 0.0, 0.075, 0.075, 0.1, 0.05]",0.7,0.0,0.075,0.075,0.1,0.05,0.42269,-2.6135
"[0.675, 0.0, 0.075, 0.075, 0.1, 0.075]",0.675,0.0,0.075,0.075,0.1,0.075,0.42303,-2.5961
"[0.65, 0.0, 0.075, 0.075, 0.1, 0.1]",0.65,0.0,0.075,0.075,0.1,0.1,0.42347,-2.5782
"[0.6, 0.0, 0.075, 0.075, 0.1, 0.15]",0.6,0.0,0.075,0.075,0.1,0.15,0.42469,-2.5426
"[0.7, 0.0, 0.075, 0.075, 0.15, 0.0]",0.7,0.0,0.075,0.075,0.15,0.0,0.42364999999999997,-2.8866
"[0.675, 0.0, 0.075, 0.075, 0.15, 0.025]",0.675,0.0,0.075,0.075,0.15,0.025,0.42364999999999997,-2.8687
"[0.65, 0.0, 0.075, 0.075, 0.15, 0.05]",0.65,0.0,0.075,0.075,0.15,0.05,0.42386,-2.8513
"[0.625, 0.0, 0.075, 0.075, 0.15, 0.075]",0.625,0.0,0.075,0.075,0.15,0.075,0.42418,-2.8336
"[0.6, 0.0, 0.075, 0.075, 0.15, 0.1]",0.6,0.0,0.075,0.075,0.15,0.1,0.42464999999999997,-2.8157
"[0.825, 0.0, 0.075, 0.1, 0.0, 0.0]",0.825,0.0,0.075,0.1,0.0,0.0,0.42438,-2.4588
"[0.8, 0.0, 0.075, 0.1, 0.0, 0.025]",0.8,0.0,0.075,0.1,0.0,0.025,0.42442,-2.4414000000000002
"[0.775, 0.0, 0.075, 0.1, 0.0, 0.05]",0.775,0.0,0.075,0.1,0.0,0.05,0.42462,-2.4234999999999998
"[0.75, 0.0, 0.075, 0.1, 0.0, 0.075]",0.75,0.0,0.075,0.1,0.0,0.075,0.42494999999999994,-2.4061000000000003
"[0.725, 0.0, 0.075, 0.1, 0.0, 0.1]",0.725,0.0,0.075,0.1,0.0,0.1,0.42542,-2.3882
"[0.675, 0.0, 0.075, 0.1, 0.0, 0.15]",0.675,0.0,0.075,0.1,0.0,0.15,0.42664,-2.3534
"[0.8, 0.0, 0.075, 0.1, 0.025, 0.0]",0.8,0.0,0.075,0.1,0.025,0.0,0.42492,-2.5776
"[0.775, 0.0, 0.075, 0.1, 0.025, 0.025]",0.775,0.0,0.075,0.1,0.025,0.025,0.42496,-2.5602
"[0.75, 0.0, 0.075, 0.1, 0.025, 0.05]",0.75,0.0,0.075,0.1,0.025,0.05,0.42517,-2.5423
"[0.725, 0.0, 0.075, 0.1, 0.025, 0.075]",0.725,0.0,0.075,0.1,0.025,0.075,0.42552,-2.5248999999999997
"[0.7, 0.0, 0.075, 0.1, 0.025, 0.1]",0.7,0.0,0.075,0.1,0.025,0.1,0.42594,-2.507
"[0.65, 0.0, 0.075, 0.1, 0.025, 0.15]",0.65,0.0,0.075,0.1,0.025,0.15,0.42719,-2.4714
"[0.775, 0.0, 0.075, 0.1, 0.05, 0.0]",0.775,0.0,0.075,0.1,0.05,0.0,0.42556000000000005,-2.6964
"[0.75, 0.0, 0.075, 0.1, 0.05, 0.025]",0.75,0.0,0.075,0.1,0.05,0.025,0.42553,-2.679
"[0.725, 0.0, 0.075, 0.1, 0.05, 0.05]",0.725,0.0,0.075,0.1,0.05,0.05,0.42571000000000003,-2.6611000000000002
"[0.7, 0.0, 0.075, 0.1, 0.05, 0.075]",0.7,0.0,0.075,0.1,0.05,0.075,0.42604,-2.6437
"[0.675, 0.0, 0.075, 0.1, 0.05, 0.1]",0.675,0.0,0.075,0.1,0.05,0.1,0.42644,-2.6255
"[0.625, 0.0, 0.075, 0.1, 0.05, 0.15]",0.625,0.0,0.075,0.1,0.05,0.15,0.42774,-2.5902000000000003
"[0.75, 0.0, 0.075, 0.1, 0.075, 0.0]",0.75,0.0,0.075,0.1,0.075,0.0,0.42625,-2.8152
"[0.725, 0.0, 0.075, 0.1, 0.075, 0.025]",0.725,0.0,0.075,0.1,0.075,0.025,0.42608,-2.7978
"[0.7, 0.0, 0.075, 0.1, 0.075, 0.05]",0.7,0.0,0.075,0.1,0.075,0.05,0.42628,-2.7798999999999996
"[0.675, 0.0, 0.075, 0.1, 0.075, 0.075]",0.675,0.0,0.075,0.1,0.075,0.075,0.42661,-2.7622000000000004
"[0.65, 0.0, 0.075, 0.1, 0.075, 0.1]",0.65,0.0,0.075,0.1,0.075,0.1,0.42706,-2.7443
"[0.6, 0.0, 0.075, 0.1, 0.075, 0.15]",0.6,0.0,0.075,0.1,0.075,0.15,0.42828999999999995,-2.709
"[0.725, 0.0, 0.075, 0.1, 0.1, 0.0]",0.725,0.0,0.075,0.1,0.1,0.0,0.42691,-2.934
"[0.7, 0.0, 0.075, 0.1, 0.1, 0.025]",0.7,0.0,0.075,0.1,0.1,0.025,0.42667999999999995,-2.9162999999999997
"[0.675, 0.0, 0.075, 0.1, 0.1, 0.05]",0.675,0.0,0.075,0.1,0.1,0.05,0.42683,-2.8984
"[0.65, 0.0, 0.075, 0.1, 0.1, 0.075]",0.65,0.0,0.075,0.1,0.1,0.075,0.42716,-2.881
"[0.625, 0.0, 0.075, 0.1, 0.1, 0.1]",0.625,0.0,0.075,0.1,0.1,0.1,0.42761,-2.8631
"[0.675, 0.0, 0.075, 0.1, 0.15, 0.0]",0.675,0.0,0.075,0.1,0.15,0.0,0.42831,-3.1715
"[0.65, 0.0, 0.075, 0.1, 0.15, 0.025]",0.65,0.0,0.075,0.1,0.15,0.025,0.42813,-3.1541
"[0.625, 0.0, 0.075, 0.1, 0.15, 0.05]",0.625,0.0,0.075,0.1,0.15,0.05,0.42806999999999995,-3.1362
"[0.6, 0.0, 0.075, 0.1, 0.15, 0.075]",0.6,0.0,0.075,0.1,0.15,0.075,0.42838,-3.1188000000000002
"[0.775, 0.0, 0.075, 0.15, 0.0, 0.0]",0.775,0.0,0.075,0.15,0.0,0.0,0.43478,-3.0294000000000003
"[0.75, 0.0, 0.075, 0.15, 0.0, 0.025]",0.75,0.0,0.075,0.15,0.0,0.025,0.43450999999999995,-3.0115
"[0.725, 0.0, 0.075, 0.15, 0.0, 0.05]",0.725,0.0,0.075,0.15,0.0,0.05,0.43444000000000005,-2.9941
"[0.7, 0.0, 0.075, 0.15, 0.0, 0.075]",0.7,0.0,0.075,0.15,0.0,0.075,0.43445999999999996,-2.9761999999999995
"[0.675, 0.0, 0.075, 0.15, 0.0, 0.1]",0.675,0.0,0.075,0.15,0.0,0.1,0.43492,-2.9588
"[0.625, 0.0, 0.075, 0.15, 0.0, 0.15]",0.625,0.0,0.075,0.15,0.0,0.15,0.4363,-2.9234999999999998
"[0.75, 0.0, 0.075, 0.15, 0.025, 0.0]",0.75,0.0,0.075,0.15,0.025,0.0,0.43544000000000005,-3.1482
"[0.725, 0.0, 0.075, 0.15, 0.025, 0.025]",0.725,0.0,0.075,0.15,0.025,0.025,0.43520000000000003,-3.1303
"[0.7, 0.0, 0.075, 0.15, 0.025, 0.05]",0.7,0.0,0.075,0.15,0.025,0.05,0.43510000000000004,-3.1129
"[0.675, 0.0, 0.075, 0.15, 0.025, 0.075]",0.675,0.0,0.075,0.15,0.025,0.075,0.43515000000000004,-3.095
"[0.65, 0.0, 0.075, 0.15, 0.025, 0.1]",0.65,0.0,0.075,0.15,0.025,0.1,0.43552,-3.0776
"[0.6000000000000001, 0.0, 0.075, 0.15, 0.025, 0.15]",0.6000000000000001,0.0,0.075,0.15,0.025,0.15,0.43687,-3.0423
"[0.725, 0.0, 0.075, 0.15, 0.05, 0.0]",0.725,0.0,0.075,0.15,0.05,0.0,0.4361,-3.2664999999999997
"[0.7, 0.0, 0.075, 0.15, 0.05, 0.025]",0.7,0.0,0.075,0.15,0.05,0.025,0.43591,-3.2491000000000003
"[0.675, 0.0, 0.075, 0.15, 0.05, 0.05]",0.675,0.0,0.075,0.15,0.05,0.05,0.43581,-3.2317
"[0.65, 0.0, 0.075, 0.15, 0.05, 0.075]",0.65,0.0,0.075,0.15,0.05,0.075,0.43586,-3.2138000000000004
"[0.625, 0.0, 0.075, 0.15, 0.05, 0.1]",0.625,0.0,0.075,0.15,0.05,0.1,0.43609,-3.1964
"[0.7, 0.0, 0.075, 0.15, 0.075, 0.0]",0.7,0.0,0.075,0.15,0.075,0.0,0.43683,-3.3855
"[0.675, 0.0, 0.075, 0.15, 0.075, 0.025]",0.675,0.0,0.075,0.15,0.075,0.025,0.43662,-3.3681
"[0.65, 0.0, 0.075, 0.15, 0.075, 0.05]",0.65,0.0,0.075,0.15,0.075,0.05,0.4365,-3.3501999999999996
"[0.625, 0.0, 0.075, 0.15, 0.075, 0.075]",0.625,0.0,0.075,0.15,0.075,0.075,0.43655,-3.3328
"[0.6, 0.0, 0.075, 0.15, 0.075, 0.1]",0.6,0.0,0.075,0.15,0.075,0.1,0.43679,-3.3154000000000003
"[0.675, 0.0, 0.075, 0.15, 0.1, 0.0]",0.675,0.0,0.075,0.15,0.1,0.0,0.43754000000000004,-3.5043
"[0.65, 0.0, 0.075, 0.15, 0.1, 0.025]",0.65,0.0,0.075,0.15,0.1,0.025,0.43733,-3.4869
"[0.625, 0.0, 0.075, 0.15, 0.1, 0.05]",0.625,0.0,0.075,0.15,0.1,0.05,0.43726,-3.469
"[0.6, 0.0, 0.075, 0.15, 0.1, 0.075]",0.6,0.0,0.075,0.15,0.1,0.075,0.43734,-3.4516
"[0.625, 0.0, 0.075, 0.15, 0.15, 0.0]",0.625,0.0,0.075,0.15,0.15,0.0,0.43908,-3.7419000000000002
"[0.6000000000000001, 0.0, 0.075, 0.15, 0.15, 0.025]",0.6000000000000001,0.0,0.075,0.15,0.15,0.025,0.43882,-3.7245
"[0.9, 0.0, 0.1, 0.0, 0.0, 0.0]",0.9,0.0,0.1,0.0,0.0,0.0,0.41262,-1.4802
"[0.875, 0.0, 0.1, 0.0, 0.0, 0.025]",0.875,0.0,0.1,0.0,0.0,0.025,0.41253,-1.4628
"[0.85, 0.0, 0.1, 0.0, 0.0, 0.05]",0.85,0.0,0.1,0.0,0.0,0.05,0.41259,-1.4449
"[0.825, 0.0, 0.1, 0.0, 0.0, 0.075]",0.825,0.0,0.1,0.0,0.0,0.075,0.41276999999999997,-1.4275
"[0.8, 0.0, 0.1, 0.0, 0.0, 0.1]",0.8,0.0,0.1,0.0,0.0,0.1,0.41306,-1.4096000000000002
"[0.75, 0.0, 0.1, 0.0, 0.0, 0.15]",0.75,0.0,0.1,0.0,0.0,0.15,0.41416,-1.3742999999999999
"[0.875, 0.0, 0.1, 0.0, 0.025, 0.0]",0.875,0.0,0.1,0.0,0.025,0.0,0.41303,-1.5992
"[0.85, 0.0, 0.1, 0.0, 0.025, 0.025]",0.85,0.0,0.1,0.0,0.025,0.025,0.41291999999999995,-1.5818
"[0.825, 0.0, 0.1, 0.0, 0.025, 0.05]",0.825,0.0,0.1,0.0,0.025,0.05,0.41300000000000003,-1.5639
"[0.8, 0.0, 0.1, 0.0, 0.025, 0.075]",0.8,0.0,0.1,0.0,0.025,0.075,0.41323,-1.5465
"[0.775, 0.0, 0.1, 0.0, 0.025, 0.1]",0.775,0.0,0.1,0.0,0.025,0.1,0.41352,-1.5286
"[0.725, 0.0, 0.1, 0.0, 0.025, 0.15]",0.725,0.0,0.1,0.0,0.025,0.15,0.41462,-1.4933
"[0.85, 0.0, 0.1, 0.0, 0.05, 0.0]",0.85,0.0,0.1,0.0,0.05,0.0,0.41339,-1.718
"[0.825, 0.0, 0.1, 0.0, 0.05, 0.025]",0.825,0.0,0.1,0.0,0.05,0.025,0.41333,-1.7006
"[0.8, 0.0, 0.1, 0.0, 0.05, 0.05]",0.8,0.0,0.1,0.0,0.05,0.05,0.41344,-1.6827
"[0.775, 0.0, 0.1, 0.0, 0.05, 0.075]",0.775,0.0,0.1,0.0,0.05,0.075,0.41361000000000003,-1.6653
"[0.75, 0.0, 0.1, 0.0, 0.05, 0.1]",0.75,0.0,0.1,0.0,0.05,0.1,0.41393,-1.6474
"[0.7, 0.0, 0.1, 0.0, 0.05, 0.15]",0.7,0.0,0.1,0.0,0.05,0.15,0.4151,-1.6120999999999999
"[0.825, 0.0, 0.1, 0.0, 0.075, 0.0]",0.825,0.0,0.1,0.0,0.075,0.0,0.41386999999999996,-1.8368000000000002
"[0.8, 0.0, 0.1, 0.0, 0.075, 0.025]",0.8,0.0,0.1,0.0,0.075,0.025,0.41379,-1.8194
"[0.775, 0.0, 0.1, 0.0, 0.075, 0.05]",0.775,0.0,0.1,0.0,0.075,0.05,0.41381999999999997,-1.8014999999999999
"[0.75, 0.0, 0.1, 0.0, 0.075, 0.075]",0.75,0.0,0.1,0.0,0.075,0.075,0.41407,-1.7841
"[0.725, 0.0, 0.1, 0.0, 0.075, 0.1]",0.725,0.0,0.1,0.0,0.075,0.1,0.41439000000000004,-1.7662
"[0.675, 0.0, 0.1, 0.0, 0.075, 0.15]",0.675,0.0,0.1,0.0,0.075,0.15,0.41557999999999995,-1.7309
"[0.8, 0.0, 0.1, 0.0, 0.1, 0.0]",0.8,0.0,0.1,0.0,0.1,0.0,0.41431,-1.9556
"[0.775, 0.0, 0.1, 0.0, 0.1, 0.025]",0.775,0.0,0.1,0.0,0.1,0.025,0.41427,-1.9377
"[0.75, 0.0, 0.1, 0.0, 0.1, 0.05]",0.75,0.0,0.1,0.0,0.1,0.05,0.41433,-1.9203
"[0.725, 0.0, 0.1, 0.0, 0.1, 0.075]",0.725,0.0,0.1,0.0,0.1,0.075,0.41455,-1.9029000000000003
"[0.7, 0.0, 0.1, 0.0, 0.1, 0.1]",0.7,0.0,0.1,0.0,0.1,0.1,0.41494,-1.8849999999999998
"[0.65, 0.0, 0.1, 0.0, 0.1, 0.15]",0.65,0.0,0.1,0.0,0.1,0.15,0.41611,-1.8494000000000002
"[0.75, 0.0, 0.1, 0.0, 0.15, 0.0]",0.75,0.0,0.1,0.0,0.15,0.0,0.41532,-2.1932
"[0.725, 0.0, 0.1, 0.0, 0.15, 0.025]",0.725,0.0,0.1,0.0,0.15,0.025,0.41524,-2.1753
"[0.7, 0.0, 0.1, 0.0, 0.15, 0.05]",0.7,0.0,0.1,0.0,0.15,0.05,0.41532,-2.1579
"[0.675, 0.0, 0.1, 0.0, 0.15, 0.075]",0.675,0.0,0.1,0.0,0.15,0.075,0.41559,-2.1397
"[0.65, 0.0, 0.1, 0.0, 0.15, 0.1]",0.65,0.0,0.1,0.0,0.15,0.1,0.416,-2.1223
"[0.6, 0.0, 0.1, 0.0, 0.15, 0.15]",0.6,0.0,0.1,0.0,0.15,0.15,0.41725,-2.0869999999999997
"[0.875, 0.0, 0.1, 0.025, 0.0, 0.0]",0.875,0.0,0.1,0.025,0.0,0.0,0.41498,-1.7656000000000003
"[0.85, 0.0, 0.1, 0.025, 0.0, 0.025]",0.85,0.0,0.1,0.025,0.0,0.025,0.41486999999999996,-1.7482
"[0.825, 0.0, 0.1, 0.025, 0.0, 0.05]",0.825,0.0,0.1,0.025,0.0,0.05,0.41493,-1.7303000000000002
"[0.8, 0.0, 0.1, 0.025, 0.0, 0.075]",0.8,0.0,0.1,0.025,0.0,0.075,0.41515,-1.7129
"[0.775, 0.0, 0.1, 0.025, 0.0, 0.1]",0.775,0.0,0.1,0.025,0.0,0.1,0.41549,-1.6949999999999998
"[0.725, 0.0, 0.1, 0.025, 0.0, 0.15]",0.725,0.0,0.1,0.025,0.0,0.15,0.41668,-1.6597
"[0.85, 0.0, 0.1, 0.025, 0.025, 0.0]",0.85,0.0,0.1,0.025,0.025,0.0,0.41539,-1.8844
"[0.825, 0.0, 0.1, 0.025, 0.025, 0.025]",0.825,0.0,0.1,0.025,0.025,0.025,0.41528,-1.867
"[0.8, 0.0, 0.1, 0.025, 0.025, 0.05]",0.8,0.0,0.1,0.025,0.025,0.05,0.41536,-1.8491000000000002
"[0.775, 0.0, 0.1, 0.025, 0.025, 0.075]",0.775,0.0,0.1,0.025,0.025,0.075,0.41558,-1.8317
"[0.75, 0.0, 0.1, 0.025, 0.025, 0.1]",0.75,0.0,0.1,0.025,0.025,0.1,0.41598999999999997,-1.8138
