name,OOF_mean,OOF_folds,in_sample,gap
v75_compact_reconcile,0.4606,"[0.4272, 0.4574, 0.4973]",0.4487,0.0119
v75_compact_reconcile_iso,0.4619,"[0.427, 0.4648, 0.4938]",0.4395,0.0224
v75_extended_reconcile,0.4633,"[0.4172, 0.4754, 0.4974]",0.444,0.0193
v75_extended_per_channel,0.4648,"[0.4298, 0.4661, 0.4986]",0.4458,0.019
v74_compact_per_channel,0.4651,"[0.4306, 0.4607, 0.5039]",0.4556,0.0095
v75_extended_iso,0.4676,"[0.433, 0.4733, 0.4966]",0.4376,0.03
v75_compact_sku_shrunk,0.4793,"[0.4315, 0.4932, 0.5131]",0.4461,0.0332
