lambda,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds
0.0,0.4119,-0.883,"[0.3133, 0.3925, 0.463]","[-1.948, -2.068, 0.253]"
0.025,0.4116,-1.011,"[0.3149, 0.3919, 0.462]","[-2.162, -2.129, 0.121]"
0.05,0.4113,-1.137,"[0.3165, 0.3914, 0.4611]","[-2.376, -2.189, -0.011]"
0.075,0.4116,-1.265,"[0.3181, 0.391, 0.4614]","[-2.59, -2.25, -0.144]"
0.1,0.412,-1.392,"[0.3198, 0.3905, 0.4617]","[-2.804, -2.311, -0.276]"
0.125,0.4123,-1.519,"[0.3215, 0.39, 0.4621]","[-3.018, -2.372, -0.408]"
0.15,0.4127,-1.646,"[0.3233, 0.3896, 0.4624]","[-3.232, -2.432, -0.541]"
0.175,0.4132,-1.774,"[0.325, 0.3892, 0.4628]","[-3.446, -2.493, -0.673]"
0.2,0.4136,-1.901,"[0.3268, 0.3888, 0.4632]","[-3.66, -2.554, -0.805]"
0.225,0.4141,-2.028,"[0.3286, 0.3884, 0.4637]","[-3.873, -2.615, -0.938]"
0.25,0.4146,-2.155,"[0.3304, 0.388, 0.4642]","[-4.087, -2.675, -1.07]"
0.275,0.4151,-2.282,"[0.3322, 0.3876, 0.4647]","[-4.301, -2.736, -1.202]"
0.3,0.4156,-2.41,"[0.3341, 0.3873, 0.4652]","[-4.515, -2.797, -1.335]"
0.325,0.4161,-2.537,"[0.3359, 0.387, 0.4657]","[-4.729, -2.858, -1.467]"
0.35,0.4167,-2.663,"[0.3378, 0.3866, 0.4663]","[-4.943, -2.918, -1.599]"
0.375,0.4173,-2.791,"[0.3397, 0.3863, 0.4669]","[-5.157, -2.979, -1.732]"
0.4,0.4179,-2.918,"[0.3417, 0.386, 0.4675]","[-5.371, -3.04, -1.864]"
0.425,0.4185,-3.045,"[0.3437, 0.3857, 0.4681]","[-5.585, -3.101, -1.996]"
0.45,0.4191,-3.172,"[0.3457, 0.3855, 0.4687]","[-5.798, -3.161, -2.129]"
0.475,0.4198,-3.299,"[0.3478, 0.3852, 0.4694]","[-6.012, -3.222, -2.261]"
0.5,0.4205,-3.427,"[0.3499, 0.385, 0.47]","[-6.226, -3.283, -2.393]"
